name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars
Topolobampo,2019,41.89047,-87.63085,Chicago,Chicago,60654,Mexican,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,one
Spiaggia,2019,41.90062,-87.62457,Chicago,Chicago,60611,Italian,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia,one
Monte,2019,45.08279,13.631168,Rovinj,Croatia,52210,Creative,Max,https://guide.michelin.com/hr/en/istria/rovinj/restaurant/monte,one
Draga di Lovrana,2019,45.275867,14.251401,Lovran,Croatia,51415,Modern cuisine,Max,https://guide.michelin.com/hr/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana,one
Noel,2019,45.811054,15.988205,Zagreb,Croatia,10000,Modern cuisine,Max,https://guide.michelin.com/hr/en/zagreb-region/zagreb/restaurant/noel,one
Pelegrini,2019,43.73603,15.888903,Šibenik,Croatia,22000,Modern cuisine,Max,https://guide.michelin.com/hr/en/sibenik-knin/sibenik/restaurant/pelegrini,one
360º,2019,42.641563,18.111523,Dubrovnik,Croatia,20000,Modern cuisine,Max,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,one
Field,2019,50.0919,14.42193,Praha,Czech Republic,110 00,Modern cuisine,Max,https://guide.michelin.com/cz/en/prague/praha/restaurant/field,one
La Degustation Bohême Bourgeoise,2019,50.09115,14.42511,Praha,Czech Republic,110 00,Modern cuisine,Max,https://guide.michelin.com/cz/en/prague/praha/restaurant/la-degustation-boheme-bourgeoise,one
Gastromé,2019,56.15788,10.20937,Aarhus,Denmark,8000,Modern cuisine,Max,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/gastrome,one
Domestic,2019,56.15893,10.212132,Aarhus,Denmark,8000,Modern cuisine,Max,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/domestic,one
Substans,2019,56.15415,10.20372,Aarhus,Denmark,8000,Modern cuisine,Max,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/substans,one
Frederikshøj,2019,56.12497,10.208638,Aarhus,Denmark,8000,Creative,Max,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/frederikshoj,one
Me‚Mu,2019,55.70901,9.53302,Vejle,Denmark,7100,Modern cuisine,Max,https://guide.michelin.com/dk/en/vejle/restaurant/me%E2%80%9Amu,one
